GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DSH REST API,com.mriss.dsh.restapi.config,SwaggerConfig,0,49,0,2,0,15,0,6,0,5
DSH REST API,com.mriss.dsh.restapi.config,SwaggerConfigTest,0,60,0,0,0,12,0,2,0,2
DSH REST API,com.mriss.dsh.restapi.integration,DocumentResourceITConfiguration,13,0,0,0,3,0,3,0,3,0
DSH REST API,com.mriss.dsh.restapi.integration,DocumentResourceIT,545,0,2,0,127,0,15,0,14,0
DSH REST API,com.mriss.dsh.restapi.integration,DshRestApplicationIT,24,0,0,0,8,0,4,0,4,0
DSH REST API,com.mriss.dsh.restapi.rest,DocumentResourceTest,0,210,0,0,0,37,0,7,0,7
DSH REST API,com.mriss.dsh.restapi.rest,DocumentResource,0,80,0,6,0,17,0,8,0,5
DSH REST API,com.mriss.dsh.restapi,DshRestApplication,0,24,0,0,0,6,0,4,0,4
DSH REST API,com.mriss.dsh.restapi,DshRestApplicationTest,0,116,0,0,0,31,0,7,0,7
DSH REST API,com.mriss.dsh.restapi.dto,TokenDto,0,26,0,0,0,12,0,6,0,6
DSH REST API,com.mriss.dsh.restapi.dto,DocumentStatusDto,0,26,0,0,0,12,0,6,0,6
DSH REST API,com.mriss.dsh.restapi.service,DocumentHandlingServiceImpl,0,50,0,10,0,11,0,9,0,4
DSH REST API,com.mriss.dsh.restapi.service,DocumentEnqueueResponseMessageHandler,0,75,0,8,0,16,0,10,0,6
DSH REST API,com.mriss.dsh.restapi.service,DocumentSubmissionServiceImplTest,8,304,0,0,2,55,1,11,1,11
DSH REST API,com.mriss.dsh.restapi.service,DocumentSubmissionExceptionTest,0,122,0,0,0,33,0,7,0,7
DSH REST API,com.mriss.dsh.restapi.service,DocumentQueueServiceImplTest,0,43,0,0,0,11,0,4,0,4
DSH REST API,com.mriss.dsh.restapi.service,DocumentSubmissionServiceImpl,11,125,1,9,3,31,1,9,0,5
DSH REST API,com.mriss.dsh.restapi.service,DocumentHandlingServiceImplTest,0,211,0,0,0,37,0,6,0,6
DSH REST API,com.mriss.dsh.restapi.service,DocumentQueueServiceImpl,0,31,0,0,0,8,0,3,0,3
DSH REST API,com.mriss.dsh.restapi.service,DocumentSubmissionException,0,34,0,0,0,14,0,7,0,7
DSH REST API,com.mriss.dsh.restapi.service,DocumentEnqueueResponseMessageHandlerTest,0,151,0,0,0,28,0,7,0,7
